TaskId,PersonId,Day
1,1,1
11,2,1
23,4,1
24,3,1
36,5,1
38,6,1
39,1,2
44,6,2
71,2,2
79,4,2
83,3,2
87,5,2
75,1,3
88,2,3
95,3,3
110,4,3
116,6,3
126,5,3
118,4,4
120,1,4
122,2,4
124,6,4
146,3,4
160,5,4
130,1,5
141,4,5
142,6,5
145,2,5
151,3,5
170,5,5
171,1,6
176,2,6
240,3,6
245,4,6
274,5,6
277,6,6
2,1,7
3,2,7
4,3,7
5,4,7
6,6,7
8,5,7
7,4,8
9,1,8
10,2,8
12,6,8
13,3,8
16,5,8
14,1,9
15,2,9
17,6,9
19,3,9
25,4,9
26,5,9
18,1,10
20,6,10
21,2,10
27,3,10
28,4,10
30,5,10
22,1,11
29,2,11
31,3,11
32,4,11
33,6,11
37,5,11
34,1,12
35,4,12
40,6,12
42,2,12
45,3,12
50,5,12
41,1,13
43,2,13
46,6,13
48,3,13
51,4,13
52,5,13
47,1,14
49,2,14
53,6,14
54,3,14
62,4,14
63,5,14
55,1,15
56,2,15
57,6,15
60,3,15
65,4,15
72,5,15
58,1,16
59,6,16
61,2,16
64,3,16
78,4,16
81,5,16
66,1,17
67,2,17
68,3,17
69,6,17
94,4,17
100,5,17
70,1,18
73,2,18
74,6,18
76,3,18
97,4,18
104,5,18
77,1,19
80,2,19
82,6,19
86,3,19
103,4,19
106,5,19
84,1,20
85,2,20
89,3,20
90,6,20
105,4,20
109,5,20
91,1,21
92,2,21
93,3,21
96,6,21
107,4,21
111,5,21
98,1,22
99,2,22
101,6,22
108,4,22
115,3,22
121,5,22
102,1,23
112,2,23
113,4,23
114,6,23
117,3,23
123,5,23
119,1,24
125,2,24
127,4,24
128,3,24
129,5,24
131,6,24
132,1,25
133,6,25
134,2,25
135,3,25
136,4,25
139,5,25
137,1,26
138,2,26
140,6,26
143,3,26
144,4,26
153,5,26
147,1,27
148,2,27
149,3,27
150,6,27
154,4,27
155,5,27
152,1,28
156,6,28
158,2,28
159,3,28
163,4,28
166,5,28
157,1,29
161,6,29
162,2,29
165,3,29
169,4,29
174,5,29
164,1,30
167,2,30
168,6,30
173,3,30
177,4,30
182,5,30
172,1,31
175,2,31
178,6,31
179,3,31
181,4,31
189,5,31
180,1,32
183,2,32
184,3,32
185,6,32
190,4,32
193,5,32
186,1,33
187,2,33
188,3,33
191,6,33
195,4,33
196,5,33
192,1,34
194,2,34
197,6,34
198,4,34
199,3,34
211,5,34
200,1,35
201,2,35
202,3,35
203,6,35
205,4,35
219,5,35
204,1,36
206,2,36
207,6,36
208,4,36
210,3,36
222,5,36
209,1,37
212,6,37
213,2,37
217,3,37
225,4,37
228,5,37
214,1,38
215,6,38
216,2,38
218,3,38
232,4,38
242,5,38
220,1,39
221,2,39
223,6,39
224,3,39
235,4,39
243,5,39
226,1,40
227,2,40
229,3,40
230,6,40
238,4,40
246,5,40
231,1,41
233,2,41
234,6,41
241,3,41
248,4,41
253,5,41
236,1,42
237,2,42
239,6,42
249,3,42
256,4,42
260,5,42
244,1,43
247,2,43
250,3,43
251,6,43
258,4,43
262,5,43
252,1,44
254,2,44
255,6,44
257,3,44
263,4,44
265,5,44
259,1,45
261,2,45
264,3,45
266,6,45
268,4,45
272,5,45
267,1,46
269,4,46
270,6,46
273,2,46
275,3,46
276,5,46
271,4,47
278,1,47
279,2,47
280,6,47
281,3,47
289,5,47
282,1,48
283,2,48
284,3,48
285,4,48
286,6,48
290,5,48
287,1,49
288,2,49
291,3,49
292,6,49
295,4,49
297,5,49
293,1,50
294,6,50
296,4,50
298,2,50
299,3,50
300,5,50
